Hour,Hopep ($/MW),Ontario Demand (MW),Weekday/Weekend,Holiday,Onpeak/Offpeak,Temperature location in degrees Farenheit: ON - Toronto Lester B. Pearson 
1,0,13198,1,1,0,39.2
2,0,12737,1,1,0,21.2
3,-0.11,12531,1,1,0,17.6
4,-1.84,12291,1,1,0,17.6
5,-0.47,12305,1,1,0,17.6
6,-0.03,12559,1,1,0,17.6
7,-2.93,13009,1,1,0,17.6
8,-0.03,13234,1,1,0,17.6
9,0,13558,1,1,0,17.6
10,0,13973,1,1,0,39.2
11,2.7,14207,1,1,0,39.2
12,0,14391,1,1,0,39.2
13,0,14442,1,1,0,39.2
14,0.38,14427,1,1,0,39.2
15,2.32,14557,1,1,0,28.4
16,7.22,15000,1,1,0,26.6
17,8.41,16064,1,1,0,24.8
18,21.51,17232,1,1,0,23
19,30.18,17278,1,1,0,21.2
20,31.16,17055,1,1,0,19.4
21,26.89,16834,1,1,0,19.4
22,15.67,16320,1,1,0,17.6
23,10.99,15521,1,1,0,17.6
24,15.85,14944,1,1,0,17.6
1,33.45,14631,1,0,0,17.6
2,14.75,14240,1,0,0,17.6
3,13.36,14021,1,0,0,17.6
4,13.33,13924,1,0,0,17.6
5,10.23,14183,1,0,0,15.8
6,6.4,14813,1,0,0,15.8
7,10.94,16096,1,0,0,15.8
8,16,17129,1,0,1,30.2
9,19.32,17438,1,0,1,30.2
10,19.29,17409,1,0,1,17.6
11,25.5,17392,1,0,1,17.6
12,32.24,17407,1,0,1,17.6
13,32.35,17611,1,0,1,17.6
14,32.37,17850,1,0,1,17.6
15,31.07,17997,1,0,1,17.6
16,35.96,18464,1,0,1,17.6
17,36.83,18802,1,0,1,17.6
18,49.08,19666,1,0,1,17.6
19,36.02,19285,1,0,1,17.6
20,50.93,19136,1,0,1,17.6
22,40.61,17961,1,0,1,17.6
23,9.99,16811,1,0,1,17.6
24,5.14,15879,1,0,0,17.6
1,0,15236,1,0,0,30.2
2,0.96,14589,1,0,0,32
3,0,14349,1,0,0,33.8
4,0,14024,1,0,0,33.8
5,0,14074,1,0,0,33.8
6,0,14539,1,0,0,33.8
7,1.48,15604,1,0,0,33.8
8,16.38,16668,1,0,1,33.8
9,56.14,17220,1,0,1,33.8
10,86.45,17670,1,0,1,30.2
11,17.37,17858,1,0,1,30.2
12,12.73,17719,1,0,1,30.2
13,8.4,17417,1,0,1,30.2
14,13.35,17471,1,0,1,30.2
15,14,17657,1,0,1,32
16,14.15,17777,1,0,1,32
17,18.8,18230,1,0,1,32
18,18.48,18803,1,0,1,32
19,9.49,18414,1,0,1,32
20,13.65,18182,1,0,1,32
21,14.24,17868,1,0,1,32
22,8.53,17048,1,0,1,32
23,0.87,16071,1,0,1,32
24,0,15024,1,0,0,33.8
1,0,14378,1,0,0,33.8
2,0,13862,1,0,0,32
3,0,13622,1,0,0,32
4,0,13464,1,0,0,32
5,-0.01,13560,1,0,0,32
6,0,13984,1,0,0,32
7,0,15038,1,0,0,32
8,2.32,15999,1,0,1,32
9,0,16178,1,0,1,32
10,1.81,16297,1,0,1,33.8
11,10.97,16269,1,0,1,33.8
12,13.34,16171,1,0,1,33.8
13,5.91,15948,1,0,1,33.8
14,8.38,15733,1,0,1,33.8
15,5.56,15513,1,0,1,33.8
16,6.67,15878,1,0,1,33.8
17,11.39,16633,1,0,1,33.8
18,22.05,17738,1,0,1,33.8
19,22.27,17658,1,0,1,33.8
20,13.35,17425,1,0,1,32
21,26.72,17038,1,0,1,32
22,29.3,16647,1,0,1,32
23,24.98,15772,1,0,1,32
24,23,14740,1,0,0,32
1,13.16,13781,0,0,0,30.2
2,1.43,13223,0,0,0,33.8
3,5.81,12984,0,0,0,37.4
4,5.75,12882,0,0,0,37.4
5,5.91,12994,0,0,0,37.4
6,5.95,13167,0,0,0,37.4
7,10.25,13641,0,0,0,37.4
8,10.3,14488,0,0,0,37.4
9,33.92,15072,0,0,0,37.4
10,17.63,15504,0,0,0,30.2
11,49.6,15764,0,0,0,30.2
12,65.43,16042,0,0,0,30.2
13,15.71,16056,0,0,0,30.2
14,15.38,15840,0,0,0,30.2
15,14.03,15761,0,0,0,37.4
16,13.32,15859,0,0,0,35.6
17,5.67,16343,0,0,0,33.8
18,5.83,17184,0,0,0,32
19,5.31,16913,0,0,0,33.8
20,10.34,16558,0,0,0,33.8
21,5.36,16106,0,0,0,33.8
22,5.7,15543,0,0,0,35.6
23,0,14756,0,0,0,35.6
24,0,13810,0,0,0,37.4
1,0,13323,0,0,0,39.2
2,0,12839,0,0,0,39.2
3,0,12462,0,0,0,39.2
4,0,12332,0,0,0,39.2
5,0,12502,0,0,0,35.6
6,0,12643,0,0,0,35.6
7,0,13061,0,0,0,35.6
8,0,13748,0,0,0,33.8
9,4.16,14211,0,0,0,19.4
10,5.72,14576,0,0,0,39.2
11,3.35,14798,0,0,0,39.2
12,0,14637,0,0,0,39.2
13,6.63,14968,0,0,0,39.2
14,12.24,15167,0,0,0,39.2
15,23.93,15389,0,0,0,39.2
16,12.25,15849,0,0,0,39.2
17,15.41,16731,0,0,0,39.2
18,47.46,18226,0,0,0,39.2
19,16.97,18194,0,0,0,39.2
20,17.79,17843,0,0,0,39.2
21,15.88,17404,0,0,0,39.2
22,17.96,16848,0,0,0,39.2
23,17.8,15899,0,0,0,39.2
24,14.9,14959,0,0,0,39.2
1,11.49,14474,1,0,0,19.4
2,3.74,14024,1,0,0,32
3,0,13803,1,0,0,37.4
4,0,13732,1,0,0,37.4
5,0,14101,1,0,0,37.4
6,0.49,14763,1,0,0,37.4
7,7.73,16056,1,0,0,37.4
8,14.83,17642,1,0,1,37.4
9,13.33,18007,1,0,1,37.4
10,18.23,18027,1,0,1,19.4
11,78.07,18146,1,0,1,19.4
13,27.94,18344,1,0,1,19.4
14,13.34,18388,1,0,1,19.4
15,13.35,18247,1,0,1,19.4
16,38.73,18356,1,0,1,19.4
17,36.24,18977,1,0,1,28.4
18,60.9,19717,1,0,1,30.2
19,11.8,19204,1,0,1,32
20,11.97,18954,1,0,1,33.8
21,12.73,18550,1,0,1,33.8
22,23.49,17843,1,0,1,33.8
23,9.68,16650,1,0,1,35.6
24,0.89,15568,1,0,0,37.4
1,0,14711,1,0,0,42.8
2,0,14104,1,0,0,44.6
3,0,13773,1,0,0,46.4
4,0,13591,1,0,0,46.4
5,4.8,13826,1,0,0,39.2
6,12.74,14413,1,0,0,39.2
7,66.11,15647,1,0,0,41
9,13.37,17102,1,0,1,41
10,8.45,16911,1,0,1,42.8
11,60.19,16891,1,0,1,42.8
12,17.82,16873,1,0,1,42.8
13,6.62,16721,1,0,1,42.8
14,13.3,16907,1,0,1,42.8
15,13.37,17045,1,0,1,42.8
16,6.05,17234,1,0,1,42.8
17,15.93,17795,1,0,1,42.8
18,19.43,18527,1,0,1,42.8
19,7.09,18031,1,0,1,42.8
20,6.39,17746,1,0,1,44.6
21,10.14,17361,1,0,1,44.6
22,5.66,16705,1,0,1,44.6
23,0.97,15699,1,0,1,44.6
24,0,14746,1,0,0,44.6
1,0,13907,1,0,0,35.6
2,0,13478,1,0,0,26.6
3,0,13443,1,0,0,23
4,0,13512,1,0,0,23
5,0,13599,1,0,0,23
6,0,14067,1,0,0,23
7,0.39,15242,1,0,0,23
8,3.87,16411,1,0,1,23
9,5.76,17061,1,0,1,23
10,5.52,17146,1,0,1,35.6
11,5.81,17202,1,0,1,35.6
12,5.71,16931,1,0,1,35.6
13,5.58,16834,1,0,1,35.6
14,5.96,16743,1,0,1,35.6
15,5.65,16807,1,0,1,35.6
16,5.22,17142,1,0,1,35.6
17,3.79,17982,1,0,1,28.4
18,5.8,18794,1,0,1,28.4
19,5.82,18747,1,0,1,26.6
20,5.95,18645,1,0,1,26.6
21,6.6,18334,1,0,1,26.6
22,7.81,17567,1,0,1,24.8
23,7.27,16590,1,0,1,24.8
24,0.47,15477,1,0,0,23
1,0,14716,1,0,0,24.8
2,0,14340,1,0,0,23
3,0,14134,1,0,0,23
4,0,14083,1,0,0,21.2
5,0,14312,1,0,0,21.2
6,0.87,14965,1,0,0,21.2
7,6.91,16373,1,0,0,19.4
8,57.72,17677,1,0,1,19.4
9,27.49,18082,1,0,1,21.2
10,13.32,17887,1,0,1,24.8
11,13.34,17720,1,0,1,24.8
12,8.03,17294,1,0,1,24.8
13,7.15,17075,1,0,1,24.8
14,12.41,16996,1,0,1,24.8
15,13.33,17104,1,0,1,24.8
16,14.83,17626,1,0,1,24.8
17,24.08,18607,1,0,1,24.8
18,36.33,19804,1,0,1,24.8
19,29.32,20012,1,0,1,24.8
20,32.97,19965,1,0,1,23
21,62.85,19638,1,0,1,23
22,50.28,18957,1,0,1,23
23,25.98,17753,1,0,1,23
24,20.2,16737,1,0,0,23
1,24.55,15897,1,0,0,12.2
2,32.01,15604,1,0,0,15.8
3,39.5,15697,1,0,0,17.6
4,40.87,15639,1,0,0,17.6
5,13.44,15670,1,0,0,17.6
6,18.49,16306,1,0,0,17.6
7,55.32,17618,1,0,0,17.6
9,46.19,19305,1,0,1,17.6
10,33.42,19016,1,0,1,12.2
11,30.24,18572,1,0,1,12.2
12,28.58,17974,1,0,1,12.2
13,27.24,17632,1,0,1,12.2
14,28.51,17450,1,0,1,12.2
15,28.45,17481,1,0,1,12.2
16,28.7,18012,1,0,1,12.2
17,29.19,18919,1,0,1,15.8
18,37.99,19934,1,0,1,15.8
19,32.25,19826,1,0,1,15.8
20,31.27,19557,1,0,1,15.8
21,29.89,19207,1,0,1,15.8
22,29.13,18563,1,0,1,15.8
23,30.84,17679,1,0,1,15.8
24,26.98,16548,1,0,0,17.6
1,28.01,15742,0,0,0,17.6
2,22.56,15286,0,0,0,17.6
3,18.73,14936,0,0,0,17.6
4,26.54,14769,0,0,0,19.4
5,13.35,14744,0,0,0,19.4
6,32.02,14983,0,0,0,19.4
7,12.1,15512,0,0,0,19.4
8,43.07,16279,0,0,0,19.4
9,21.21,16962,0,0,0,19.4
10,14.35,17202,0,0,0,17.6
11,15.05,17044,0,0,0,17.6
12,17.07,17015,0,0,0,17.6
13,28.98,16808,0,0,0,17.6
14,26.37,16703,0,0,0,17.6
15,28.93,16796,0,0,0,17.6
16,28.09,17135,0,0,0,17.6
17,23.94,17785,0,0,0,17.6
18,23.98,18853,0,0,0,17.6
19,26.09,18658,0,0,0,17.6
20,25.56,18118,0,0,0,17.6
21,24.07,17750,0,0,0,17.6
22,49.89,17313,0,0,0,17.6
23,33.96,16705,0,0,0,17.6
24,19.05,15867,0,0,0,17.6
1,12.79,15174,0,0,0,15.8
2,13.35,14619,0,0,0,17.6
3,13.36,14441,0,0,0,17.6
4,19.29,14438,0,0,0,17.6
5,13.34,14464,0,0,0,17.6
6,10.84,14565,0,0,0,17.6
7,7.84,14998,0,0,0,17.6
8,11.49,15741,0,0,0,17.6
9,11.56,16248,0,0,0,17.6
10,5.99,16384,0,0,0,15.8
11,13.32,16230,0,0,0,15.8
12,13.34,16250,0,0,0,15.8
13,28.94,16322,0,0,0,15.8
14,27.5,16231,0,0,0,15.8
15,19.49,16316,0,0,0,15.8
16,20.12,16769,0,0,0,15.8
17,29.19,17804,0,0,0,19.4
18,38.85,19220,0,0,0,17.6
19,32.86,19314,0,0,0,17.6
20,36.58,18788,0,0,0,17.6
21,30.57,18315,0,0,0,17.6
22,29.45,17814,0,0,0,17.6
23,27.65,16980,0,0,0,17.6
24,22.85,16052,0,0,0,17.6
1,45.6,15459,1,0,0,17.6
2,36.6,14977,1,0,0,17.6
3,22.06,14979,1,0,0,19.4
4,46.96,15050,1,0,0,19.4
5,25.73,15228,1,0,0,17.6
6,26.82,15856,1,0,0,19.4
7,28.7,17157,1,0,0,19.4
8,45.41,18718,1,0,1,21.2
9,34.42,18922,1,0,1,23
10,32.15,18275,1,0,1,17.6
11,30.9,17968,1,0,1,17.6
12,34.94,17662,1,0,1,17.6
13,28.99,17289,1,0,1,17.6
14,29.45,17147,1,0,1,17.6
15,25.53,17240,1,0,1,17.6
16,27.38,17508,1,0,1,17.6
17,27.55,18283,1,0,1,17.6
18,39.64,19390,1,0,1,17.6
19,39.15,19555,1,0,1,17.6
20,33.6,19291,1,0,1,17.6
21,32.96,18924,1,0,1,17.6
22,33.2,18253,1,0,1,17.6
23,27.66,17031,1,0,1,17.6
24,25.76,15834,1,0,0,17.6
1,22.95,15166,1,0,0,24.8
2,28.16,14607,1,0,0,28.4
3,31.05,14553,1,0,0,28.4
4,22.67,14434,1,0,0,28.4
5,14.35,14610,1,0,0,28.4
6,13.69,15148,1,0,0,28.4
7,17.89,16347,1,0,0,28.4
8,34.2,17705,1,0,1,28.4
9,35.21,18111,1,0,1,28.4
10,40.25,18043,1,0,1,24.8
11,38.53,18080,1,0,1,24.8
12,39.19,18083,1,0,1,24.8
13,34.95,17778,1,0,1,24.8
14,36.61,17820,1,0,1,24.8
15,34.82,17882,1,0,1,24.8
16,31.7,18147,1,0,1,24.8
17,29.16,18794,1,0,1,30.2
18,30.04,19291,1,0,1,28.4
19,23.71,19061,1,0,1,28.4
20,18.81,18765,1,0,1,28.4
21,21.12,18507,1,0,1,28.4
22,7.21,17749,1,0,1,28.4
23,8.07,16742,1,0,1,28.4
24,0,15693,1,0,0,28.4
1,0,14877,1,0,0,28.4
2,0,14649,1,0,0,28.4
3,0,14542,1,0,0,28.4
4,0,14451,1,0,0,28.4
5,0,14553,1,0,0,28.4
6,0.1,15166,1,0,0,28.4
7,3.94,16164,1,0,0,30.2
8,36.7,17677,1,0,1,30.2
9,19.16,17990,1,0,1,30.2
10,22.61,17991,1,0,1,28.4
11,42.98,17789,1,0,1,28.4
12,6.1,17307,1,0,1,28.4
13,0.04,16793,1,0,1,28.4
14,4.71,16524,1,0,1,28.4
15,5.75,16505,1,0,1,28.4
16,18.33,16986,1,0,1,28.4
17,34.33,18473,1,0,1,28.4
18,40.13,19659,1,0,1,28.4
19,38.5,19928,1,0,1,28.4
20,40.22,19866,1,0,1,28.4
21,38.29,19639,1,0,1,28.4
22,39.72,18946,1,0,1,28.4
23,34.84,17730,1,0,1,28.4
24,39.59,16645,1,0,0,28.4
1,32.28,15894,1,0,0,12.2
2,33.53,15573,1,0,0,23
